t;T_B;V_A;V_B
611;45.2563;1.09328;2.26419
612;45.234;1.08922;2.26321
613;45.2118;1.08516;2.26223
614;45.1894;1.08111;2.26124
615;45.1671;1.07707;2.26024
616;45.1447;1.07303;2.25924
617;45.1223;1.069;2.25824
618;45.0998;1.06498;2.25723
619;45.0773;1.06097;2.25622
620;45.0547;1.05697;2.2552
621;45.0322;1.05297;2.25418
622;45.0095;1.04898;2.25316
623;44.9869;1.045;2.25213
624;44.9642;1.04102;2.2511
625;44.9414;1.03706;2.25006
626;44.9187;1.0331;2.24902
627;44.8959;1.02915;2.24798
628;44.873;1.0252;2.24693
629;44.8501;1.02126;2.24587
630;44.8272;1.01734;2.24482
631;44.8042;1.01341;2.24376
632;44.7813;1.0095;2.24269
633;44.7582;1.00559;2.24162
634;44.7351;1.00169;2.24055
635;44.712;0.997804;2.23947
636;44.6889;0.99392;2.23839
637;44.6657;0.990044;2.2373
638;44.6425;0.986175;2.23622
639;44.6192;0.982314;2.23512
640;44.5959;0.978461;2.23403
641;44.5726;0.974615;2.23293
642;44.5492;0.970776;2.23182
643;44.5258;0.966946;2.23071
644;44.5023;0.963123;2.2296
645;44.4788;0.959307;2.22848
646;44.4553;0.955499;2.22736
647;44.4318;0.951698;2.22624
648;44.4082;0.947905;2.22511
649;44.3845;0.94412;2.22398
650;44.3608;0.940342;2.22285
651;44.3371;0.936572;2.22171
652;44.3134;0.932809;2.22056
653;44.2896;0.929054;2.21942
654;44.2658;0.925307;2.21827
655;44.2419;0.921567;2.21711
656;44.218;0.917834;2.21596
657;44.194;0.914109;2.21479
658;44.1701;0.910392;2.21363
659;44.1461;0.906682;2.21246
660;44.122;0.90298;2.21129
661;44.0979;0.899286;2.21011
662;44.0738;0.895599;2.20893
663;44.0496;0.891919;2.20775
664;44.0254;0.888247;2.20656
665;44.0012;0.884583;2.20537
666;43.9769;0.880926;2.20418
667;43.9526;0.877277;2.20298
668;43.9282;0.873635;2.20178
669;43.9038;0.870001;2.20058
670;43.8794;0.866375;2.19937
671;43.8549;0.862756;2.19816
672;43.8304;0.859145;2.19694
673;43.8058;0.855541;2.19573
674;43.7813;0.851945;2.1945
675;43.7566;0.848356;2.19328
676;43.732;0.844775;2.19205
677;43.7073;0.841201;2.19082
678;43.6825;0.837635;2.18958
679;43.6578;0.834077;2.18834
680;43.6329;0.830526;2.1871
681;43.6081;0.826983;2.18586
682;43.5832;0.823447;2.18461
683;43.5583;0.819919;2.18335
684;43.5333;0.816399;2.1821
685;43.5083;0.812886;2.18084
686;43.4833;0.80938;2.17958
687;43.4582;0.805882;2.17831
688;43.4331;0.802392;2.17704
689;43.4079;0.798909;2.17577
690;43.3827;0.795434;2.1745
691;43.3575;0.791967;2.17322
692;43.3322;0.788506;2.17194
693;43.3069;0.785054;2.17065
694;43.2815;0.781609;2.16936
695;43.2562;0.778172;2.16807
696;43.2307;0.774742;2.16678
697;43.2053;0.77132;2.16548
698;43.1798;0.767905;2.16418
699;43.1542;0.764498;2.16287
700;43.1286;0.761099;2.16157
701;43.103;0.757707;2.16026
702;43.0774;0.754322;2.15894
703;43.0517;0.750946;2.15763
704;43.0259;0.747576;2.15631
705;43.0002;0.744215;2.15498
706;42.9743;0.740861;2.15366
